,Neighborhoods,Supermarket
0,Appa Balwant Chowk,0.01
1,"Aundh, Pune",0.0
2,Balewadi,0.0
3,Baner,0.0
4,Bavdhan,0.0
5,"Bhavani Peth, Pune",0.016129032258064516
6,Blue Ridge Town Pune,0.0
7,"Budhwar Peth, Pune",0.01
8,"Chakan, Pune",0.01
9,Deccan Gymkhana,0.0
10,Dhankawadi,0.0
11,Dhayari,0.0
12,Erandwane,0.0
13,Fatimanagar,0.0
14,"Ganesh Peth, Pune",0.01
15,"Ghorpade Peth, Pune",0.011904761904761904
16,"Guruwar Peth, Pune",0.01
17,Hadapsar,0.0
18,Hinjawadi,0.0
19,Kalyani Nagar,0.0
20,"Kasba Peth, Pune",0.01
21,Kharadi,0.0
22,Koregaon Park,0.01
23,Kothrud,0.0
24,List of neighbourhoods in Pune,0.0
25,"Maan, Pune",0.0
26,Magarpatta,0.0
27,"Mangalwar Peth, Pune",0.01
28,Manjri,0.0
29,Marunji,0.0
30,Megapolis Pune,0.0
31,Mukund Nagar,0.0
32,"Nana Peth, Pune",0.01
33,"Nanded City, Pune",0.0
34,"Narayan Peth, Pune",0.01
35,"Navi Peth, Pune",0.0
36,Pashan,0.0
37,Peths in Pune,0.0
38,Pune Camp,0.01
39,"Rasta Peth, Pune",0.01
40,"Raviwar Peth, Pune",0.01
41,"Sadashiv Peth, Pune",0.01
42,"Shaniwar Peth, Pune",0.01
43,"Shivajinagar, Pune",0.0
44,"Shukrawar Peth, Pune",0.01
45,"Somwar Peth, Pune",0.01
46,Sopan Baug,0.0
47,"Sus, Pune",0.0
48,Swargate,0.01
49,Template:Neighbourhoods of Pune,0.0
50,Vadgaon Budruk,0.0
51,Vimannagar,0.0
52,Vishrantwadi,0.0
53,Wakad,0.0
54,Yerawada,0.0
